Letra;Código de actividad;Descripción;2004_1;2004_2;2004_3;2004_4;2005_1;2005_2;2005_3;2005_4;2006_1;2006_2;2006_3;2006_4;2007_1;2007_2;2007_3;2007_4;2008_1;2008_2;2008_3;2008_4;2009_1;2009_2;2009_3;2009_4;2010_1;2010_2;2010_3;2010_4;2011_1;2011_2;2011_3;2011_4;2012_1;2012_2;2012_3;2012_4;2013_1;2013_2;2013_3;2013_4;2014_1;2014_2;2014_3;2014_4;2015_1;2015_2;2015_3;2015_4;2016_1;2016_2;2016_3;2016_4;2017_1;2017_2;2017_3;2017_4;2018_1;2018_2;2018_3;2018_4;2019_1;2019_2;2019_3;2019_4;2020_1;2020_2;2020_3;2020_4;2021_1;2021_2;2021_3;2021_4;2022_1;2022_2;2022_3;2022_4;2023_1;2023_2;2023_3;2023_4;2024_1;2024_2;2024_3;2024_4
D;33;"Fabricación de instrumentos médicos, ópticos y de precisión; fabricación de relojes";909,3;1.256,80;1.154,90;1.312,40;1.116,60;1.512,80;1.349,50;1.619,30;1.285,70;1.580,00;1.497,70;1.693,50;1.727,10;1.698,10;1.957,60;1.981,90;1.630,90;2.134,80;2.007,40;2.158,00;1.751,40;1.961,00;2.063,00;1.793,10;1.680,70;2.052,60;1.954,10;1.944,80;1.487,30;1.880,00;1.825,50;1.742,10;1.526,70;1.763,00;1.933,20;1.979,60;1.500,00;1.838,30;1.710,90;1.546,40;1.317,00;1.586,90;1.582,30;1.402,70;1.419,00;1.800,00;1.656,40;1.767,60;1.101,60;1.363,40;1.574,20;1.270,70;1.129,40;1.427,10;1.642,50;1.346,00;1.147,90;1.430,50;1.636,70;1.299,60;1.137,50;1.369,10;1.624,00;1.306,60;1.026,30;1.118,90;1.485,00;1.178,00;1.088,80;1.409,70;1.628,60;1.240,60;1.101,60;1.339,00;1.530,20;1.195,40;1.142,50;1.308,70;1.538,50;1.226,10;1.142,50;1.308,70;1.538,50;1.226,10
D;34;Fabricación de vehículos automotores, remolques y semirremolques;2.669,80;3.356,70;3.457,10;3.473,30;3.207,60;3.952,80;4.254,20;4.027,30;3.667,70;4.422,60;4.928,10;4.976,70;4.092,20;5.122,50;5.232,60;5.501,60;4.425,90;5.582,60;6.217,60;4.649,40;3.385,80;4.247,70;4.711,00;4.928,10;5.346,00;6.224,10;6.178,70;5.718,60;6.065,30;7.429,40;6.923,90;5.955,20;6.045,90;5.760,80;6.457,40;5.955,20;6.337,50;7.163,70;6.992,00;5.767,20;5.605,20;5.459,40;5.057,70;4.736,90;4.296,30;4.821,20;5.372,00;4.263,90;2.883,60;4.114,80;4.409,70;4.659,20;3.094,20;4.516,60;4.921,60;4.911,90;3.544,60;4.837,40;5.012,30;4.374,00;2.818,80;3.677,40;3.836,20;3.538,10;2.342,50;1.231,20;3.463,60;3.959,30;3.074,80;4.030,60;4.545,80;4.759,60;3.188,20;4.788,80;5.433,50;5.018,80;3.651,10;4.963,00;5.473,10;4.904,30;4.433,40;4.379,10;4.507,20;4.615,80
D;35;Fabricación de equipo de transporte n.c.p.;3.488,90;3.795,00;4.143,10;5.346,60;4.604,40;5.409,50;5.090,80;5.145,30;5.791,10;4.658,90;4.155,70;5.145,30;4.365,30;4.658,90;5.434,70;5.241,80;3.979,50;4.549,80;4.503,70;5.875,00;3.937,60;3.396,70;3.488,90;4.587,60;4.092,80;4.516,30;4.344,40;5.845,60;4.524,70;3.929,20;4.138,90;5.120,10;3.526,70;2.889,30;3.241,50;3.681,80;3.103,10;3.459,60;3.891,50;6.776,50;2.797,00;2.461,50;3.031,80;3.472,10;2.998,30;2.381,90;4.356,90;3.996,30;2.264,40;2.004,40;3.153,40;3.857,90;2.595,70;2.537,00;3.807,60;4.507,90;2.843,10;2.138,60;2.230,90;2.528,60;1.392,20;1.232,90;1.824,10;2.042,20;1.153,20;398,4;1.111,30;1.635,40;1.010,60;1.052,50;2.038,00;2.750,90;1.631,20;1.547,40;2.402,80;2.692,20;1.741,00;1.573,00;2.363,30;2.968,70;1.741,00;1.573,00;2.363,30;2.968,70
D;36;"Fabricación de muebles y colchones; industrias manufactureras n.c.p.";20.811,50;21.287,90;22.370,70;22.175,80;19.685,40;22.435,70;23.800,00;25.662,50;23.388,60;25.835,70;27.113,40;27.611,50;26.398,80;28.499,40;29.712,10;32.094,30;25.402,60;30.946,50;30.296,90;27.568,20;21.872,60;24.081,60;27.741,40;28.217,90;25.207,70;26.182,20;28.954,20;29.387,30;24.471,40;31.899,40;31.834,40;31.314,70;26.117,20;30.123,60;29.907,00;31.314,70;23.410,20;29.235,70;31.596,20;32.180,90;23.237,00;25.489,20;28.347,80;30.968,20;25.186,00;31.033,20;31.206,40;32.094,30;20.833,20;24.731,20;29.863,70;33.502,00;20.984,70;25.684,10;32.852,30;36.966,90;21.612,80;24.449,70;26.940,20;24.363,10;17.887,90;18.819,10;23.821,70;24.384,70;14.487,90;13.794,90;25.056,10;25.814,00;16.112,10;17.606,40;20.963,10;25.099,40;15.159,30;18.580,90;21.959,30;22.175,80;16.501,90;19.903,80;21.118,80;19.690,50;15.250,00;16.626,90;20.968,00;20.599,30
D;38;Reparación, mantenimiento e instalación de maquinas y equipos;1.531,70;1.799,70;1.955,40;1.955,40;1.580,60;1.915,60;2.002,50;2.004,30;1.745,40;1.998,90;2.199,80;2.351,90;1.975,30;2.449,70;2.467,80;2.880,60;2.362,80;2.842,60;2.813,60;2.989,20;1.736,30;2.390,00;2.390,00;2.790,10;1.895,70;2.685,10;3.007,40;3.206,50;2.424,40;3.237,30;3.523,40;3.575,90;2.424,40;2.915,00;3.092,50;3.492,60;2.261,40;3.074,30;3.116,00;3.577,70;2.263,20;2.916,80;3.108,70;2.942,20;2.203,50;2.962,10;3.211,90;2.933,10;2.125,60;2.723,10;2.969,30;2.810,00;2.078,50;2.799,10;3.114,20;2.933,10;2.160,00;2.748,40;2.886,00;2.592,70;1.919,20;2.543,80;2.759,30;2.540,20;1.788,80;2.007,90;2.616,30;2.578,30;2.006,10;2.654,30;2.934,90;2.791,90;2.091,20;2.842,60;3.108,70;2.813,60;2.162,40;2.807,50;2.997,00;2.653,10;2.162,40;2.807,50;2.997,00;2.653,10
E;;Electricidad, gas y agua;277.527,00;265.568,10;274.944,00;355.619,00;301.959,60;288.934,00;299.254,20;387.639,10;335.019,80;320.784,60;332.488,40;431.286,00;324.172,40;310.218,80;321.284,00;415.287,80;353.424,00;337.924,30;350.096,80;454.083,30;366.874,50;350.964,10;363.650,60;471.780,00;389.752,10;372.807,60;386.263,60;501.325,60;438.191,90;419.069,40;434.282,80;564.366,50;467.178,50;446.628,70;462.839,60;601.851,50;496.968,90;556.084,50;576.239,20;738.676,30;557.445,20;590.815,40;590.712,50;762.416,50;598.238,60;616.367,30;614.646,60;739.276,50;646.369,30;659.338,80;543.700,70;693.164,80;594.391,10;575.316,50;542.310,40;765.542,30;581.853,20;600.541,10;570.103,70;716.551,70;531.400,10;529.244,80;539.998,20;724.160,40;574.026,40;466.847,10;518.367,20;704.388,20;541.385,10;545.633,40;561.327,90;765.780,80;631.660,80;559.672,50;539.167,00;752.310,20;661.151,00;539.466,80;557.340,30;744.693,00;644.044,00;579.667,40;568.719,40;785.203,10
E;40;Generación captación y distribución de energía eléctrica;254.836,50;242.830,20;252.160,00;332.702,90;278.939,10;265.797,30;276.009,50;364.170,30;311.024,00;296.370,50;307.757,40;406.058,90;298.741,20;284.666,40;295.603,60;390.023,00;328.410,00;312.937,40;324.960,80;428.757,20;341.351,20;325.268,80;337.766,00;445.652,60;363.478,40;346.353,50;359.660,80;474.540,90;411.163,50;391.792,00;406.845,10;536.796,40;439.451,60;418.747,40;434.836,10;573.728,10;468.758,90;527.755,30;547.745,80;710.107,10;528.751,70;561.899,10;561.676,30;733.257,00;568.976,10;586.979,30;585.141,70;709.518,60;616.410,50;629.226,30;513.455,20;662.744,50;563.785,20;544.556,70;511.385,80;734.433,00;550.563,60;569.120,90;538.546,00;684.767,70;499.458,50;497.213,90;507.817,90;691.772,90;541.529,60;434.069,10;485.100,40;670.965,20;507.818,40;511.948,70;527.518,70;731.829,60;597.605,20;525.521,90;504.866,10;717.875,60;626.566,60;504.770,20;522.519,90;709.759,10;609.023,10;544.599,00;533.581,10;749.976,80
E;41;Captación, depuración y distribución de agua;22.690,50;22.738,00;22.784,00;22.916,10;23.020,50;23.136,80;23.244,70;23.468,80;23.995,70;24.414,10;24.731,00;25.227,10;25.431,20;25.552,40;25.680,40;25.264,80;25.013,90;24.986,90;25.136,00;25.326,10;25.523,30;25.695,30;25.884,60;26.127,40;26.273,70;26.454,10;26.602,80;26.784,70;27.028,40;27.277,40;27.437,70;27.570,10;27.726,80;27.881,30;28.003,50;28.123,50;28.210,00;28.329,10;28.493,40;28.569,20;28.693,50;28.916,30;29.036,10;29.159,40;29.262,60;29.388,10;29.504,90;29.757,90;29.958,80;30.112,50;30.245,50;30.420,30;30.605,90;30.759,90;30.924,60;31.109,30;31.289,60;31.420,20;31.557,70;31.784,00;31.941,60;32.030,90;32.180,30;32.387,50;32.496,80;32.777,90;33.266,80;33.423,00;33.566,80;33.684,70;33.809,20;33.951,20;34.055,50;34.150,60;34.300,80;34.434,70;34.584,30;34.696,60;34.820,40;34.933,80;35.020,90;35.068,40;35.138,30;35.226,20
F;;Construcción;193.119,20;176.413,80;188.454,20;175.189,50;215.024,60;224.783,40;251.090,90;249.289,50;247.190,40;233.861,10;270.504,60;277.533,90;322.019,50;361.532,20;343.513,60;344.538,00;358.861,00;350.043,50;368.421,20;332.719,20;335.162,00;339.263,90;388.474,20;350.893,80;318.613,20;311.745,50;332.292,10;331.236,50;382.303,50;409.812,40;449.997,20;444.634,40;457.874,00;466.282,40;493.535,80;464.881,70;458.220,40;486.006,40;499.966,00;461.308,80;449.833,80;445.923,20;445.254,00;423.970,20;423.537,10;435.783,60;473.933,30;437.976,20;424.285,20;423.774,10;456.071,40;447.901,40;489.267,50;500.170,80;564.852,60;546.840,60;546.226,50;520.085,50;520.452,80;457.296,00;467.361,70;469.035,70;498.587,20;451.496,10;430.701,00;360.967,30;481.630,80;497.356,40;506.724,40;490.418,20;533.131,60;512.907,10;507.593,70;477.830,50;508.015,70;492.253,20;537.834,60;547.393,20;573.792,50;540.170,90;368.547,60;374.555,40;506.251,50;499.561,20
G;;Comercio mayorista y minorista;1.107.717,80;1.089.034,20;1.142.423,30;1.243.718,70;1.289.155,10;1.344.844,20;1.392.853,10;1.486.917,10;1.571.672,10;1.607.160,20;1.727.976,10;1.851.131,70;1.828.075,10;1.817.985,80;1.917.807,00;2.103.544,70;1.925.383,70;1.873.743,30;2.036.138,70;2.031.257,20;1.854.043,10;1.890.343,00;1.930.067,60;2.063.998,30;1.967.482,40;2.043.984,60;2.173.722,20;2.360.555,40;2.299.277,10;2.403.760,50;2.498.269,30;2.563.274,20;2.445.314,20;2.395.860,80;2.434.691,10;2.592.705,90;2.409.635,40;2.450.524,00;2.577.962,60;2.683.305,50;2.337.269,60;2.301.204,60;2.410.201,20;2.558.778,70;2.390.952,00;2.475.885,10;2.568.825,30;2.621.989,60;2.350.513,40;2.312.529,10;2.423.876,90;2.608.621,10;2.508.415,00;2.488.787,20;2.756.361,20;2.989.690,00;2.741.333,90;2.695.794,40;2.689.468,10;2.660.684,40;2.432.122,90;2.407.986,30;2.546.557,50;2.583.938,60;2.289.331,10;2.128.141,20;2.573.788,60;2.709.234,00;2.526.018,90;2.619.622,00;2.939.835,30;3.067.894,00;2.789.651,80;2.753.221,50;2.864.229,90;2.760.520,70;2.705.819,70;2.803.383,90;2.898.190,00;2.852.181,30;2.395.107,20;2.622.460,40;2.932.784,40;3.003.894,50
G;501;Venta de vehículos automotores, excepto motocicletas;26.361,30;23.736,80;25.780,40;22.472,40;32.348,50;29.806,00;31.583,00;25.862,40;43.994,80;37.037,10;43.085,80;33.510,40;48.451,00;40.194,70;48.013,60;41.322,40;54.492,80;48.314,30;49.216,50;39.702,60;49.483,00;42.416,00;46.810,70;41.021,70;49.038,80;58.525,30;62.236,50;60.835,40;82.309,90;80.129,70;87.675,20;71.121,60;93.259,10;79.952,00;82.351,00;68.948,20;83.594,90;82.863,60;86.110,00;81.817,80;82.877,20;68.052,80;76.302,30;66.104,90;71.798,20;75.031,00;84.141,60;74.456,90;71.579,50;70.991,70;80.587,60;68.859,30;84.169,00;79.002,00;95.569,20;92.274,90;102.882,30;86.855,00;86.103,20;64.204,90;69.611,10;59.557,30;72.338,20;57.841,80;56.078,50;38.151,10;69.330,90;58.771,30;61.860,60;53.084,90;67.137,00;65.592,30;61.812,80;59.946,90;68.565,40;55.559,00;64.806,40;64.861,00;74.983,20;63.548,80;50.057,10;60.671,40;83.553,90;76.056,20
G;502;Mantenimiento y reparación de vehículos automotores, excepto motocicletas;43.352,20;43.219,90;45.644,10;49.275,10;50.126,60;51.597,00;53.966,60;57.841,70;59.299,50;60.173,70;67.846,60;71.808,70;72.390,00;80.621,70;81.693,60;85.197,20;81.497,70;81.877,90;75.427,50;65.018,30;74.933,30;69.188,80;72.045,00;71.410,00;77.556,60;81.513,80;83.889,40;83.038,80;81.064,50;88.299,60;96.656,50;95.003,90;95.429,90;93.373,20;94.052,90;97.538,30;93.872,20;101.767,00;110.347,60;105.769,90;98.628,90;110.639,50;107.095,70;109.205,50;111.509,00;118.308,90;120.492,70;120.012,80;125.065,20;120.973,40;127.696,30;134.469,90;133.914,10;125.508,50;142.660,60;144.750,40;129.590,30;126.306,70;131.210,90;125.511,80;114.887,80;111.417,60;115.793,50;108.787,70;95.073,80;78.735,50;102.758,70;108.333,30;110.430,80;111.907,70;129.422,80;133.476,00;125.576,70;118.781,70;127.138,20;122.301,60;131.117,00;139.506,90;148.410,30;142.235,10;119.703,40;166.992,40;178.062,30;161.001,60
G;503;Venta al por mayor de partes, piezas y accesorios de vehículos automotores;17.358,20;17.305,20;18.275,90;19.729,70;20.070,70;20.659,40;21.608,20;23.159,80;23.964,50;24.325,40;26.279,40;26.251,70;27.169,20;27.954,10;28.274,30;30.097,10;31.386,00;30.741,30;32.390,80;31.255,30;28.108,80;27.192,00;30.738,50;30.080,50;30.223,50;30.805,40;34.440,10;34.438,80;35.686,00;38.039,30;39.662,10;40.661,40;38.072,10;37.194,80;37.361,00;40.186,50;38.543,90;41.366,10;44.302,00;41.982,70;39.931,40;38.261,90;40.975,70;39.938,40;39.483,90;42.268,40;43.469,80;39.820,90;40.353,40;36.453,70;37.564,00;38.936,50;38.400,40;35.889,70;41.350,30;40.421,50;40.128,80;39.140,70;38.791,40;39.454,10;35.985,70;37.390,20;39.113,70;40.686,30;34.753,30;30.035,00;41.439,40;40.830,60;42.773,00;44.483,70;50.669,20;54.856,10;53.300,00;55.129,60;59.629,10;55.283,30;57.541,00;55.817,50;59.484,30;56.427,10;49.520,20;54.949,90;60.554,50;54.911,10
