Letra;Código de actividad;Descripción;2004_1;2004_2;2004_3;2004_4;2005_1;2005_2;2005_3;2005_4;2006_1;2006_2;2006_3;2006_4;2007_1;2007_2;2007_3;2007_4;2008_1;2008_2;2008_3;2008_4;2009_1;2009_2;2009_3;2009_4;2010_1;2010_2;2010_3;2010_4;2011_1;2011_2;2011_3;2011_4;2012_1;2012_2;2012_3;2012_4;2013_1;2013_2;2013_3;2013_4;2014_1;2014_2;2014_3;2014_4;2015_1;2015_2;2015_3;2015_4;2016_1;2016_2;2016_3;2016_4;2017_1;2017_2;2017_3;2017_4;2018_1;2018_2;2018_3;2018_4;2019_1;2019_2;2019_3;2019_4;2020_1;2020_2;2020_3;2020_4;2021_1;2021_2;2021_3;2021_4;2022_1;2022_2;2022_3;2022_4;2023_1;2023_2;2023_3;2023_4;2024_1;2024_2;2024_3;2024_4
G;504;Venta, mantenimiento y reparación de motocicletas y de sus partes, piezas y accesorios;6.570,50;6.158,90;5.953,10;6.285,50;8.644,60;8.929,60;11.130,30;10.481,20;27.730,20;23.691,60;29.836,80;25.244,40;30.715,20;34.230,10;50.711,80;43.967,10;55.825,70;60.686,30;79.352,90;72.386,60;67.795,10;59.926,30;60.227,20;51.709,20;69.109,20;96.958,80;120.866,00;129.478,90;158.800,90;156.964,30;155.523,50;138.566,80;162.505,70;144.250,70;137.822,70;139.817,60;145.216,50;143.870,70;147.781,40;141.100,00;129.368,10;100.980,20;104.305,10;90.562,40;95.423,00;99.903,60;110.622,30;105.302,50;104.146,80;93.475,60;97.813,70;98.431,20;126.565,70;117.699,50;139.738,40;153.560,30;162.664,00;143.934,10;112.965,50;90.689,10;97.797,90;81.189,50;76.534,70;59.023,90;65.657,70;45.376,20;88.836,70;73.795,70;78.213,00;71.974,90;89.913,30;96.309,60;92.224,80;92.478,10;93.713,10;80.397,90;95.913,80;95.169,70;100.536,90;91.654,90;79.210,40;98.288,70;122.813,40;123.589,20
G;505;Venta al por menor de combustibles y lubricantes para vehículos automotores y motocicletas;118.459,80;105.730,70;103.804,50;127.978,70;142.395,60;167.906,50;159.664,60;174.617,30;166.534,10;170.760,40;168.665,80;176.472,70;178.260,70;178.356,20;187.696,80;194.533,50;196.115,50;187.495,90;200.900,00;196.715,40;198.256,20;177.019,30;183.603,10;191.411,70;209.469,10;191.757,70;205.837,00;216.690,60;220.183,90;204.788,40;216.411,20;204.494,00;226.291,70;202.825,80;208.575,40;204.645,40;186.096,50;164.473,70;182.075,20;183.316,00;185.187,50;156.149,40;168.318,80;181.308,10;194.292,10;172.122,40;184.687,50;182.561,40;193.265,00;163.608,20;195.217,60;223.249,60;230.980,70;198.108,70;226.563,70;238.164,30;241.121,00;204.188,80;205.427,80;206.098,70;207.951,40;200.958,00;222.999,40;227.706,00;229.899,20;144.104,40;199.193,20;224.697,90;233.550,30;224.417,50;276.020,40;303.155,40;304.695,50;290.663,90;302.201,40;297.389,60;306.426,60;283.548,10;297.480,80;297.572,70;262.927,90;224.468,90;248.141,80;264.692,10
G;511;Venta al por mayor en comisión o consignación;18.690,40;18.633,30;19.678,50;21.243,90;21.611,00;22.245,00;23.266,60;24.937,20;30.600,70;31.414,50;33.288,40;34.106,90;43.246,10;43.940,80;33.438,20;36.167,10;33.765,80;35.552,00;37.876,20;37.450,30;35.482,30;39.565,40;36.020,60;41.501,30;44.020,70;47.181,10;44.677,10;51.224,50;48.008,30;55.069,10;51.284,20;48.806,50;49.187,60;58.092,20;49.112,60;48.137,10;45.468,30;54.021,00;47.512,60;52.843,10;46.252,60;51.464,90;50.146,30;49.094,70;45.181,70;51.931,20;49.875,80;49.995,90;50.556,70;50.669,10;48.466,00;51.186,20;46.820,80;48.840,30;52.839,80;51.635,30;48.825,50;53.164,10;48.114,60;48.052,40;47.598,60;51.537,30;47.670,20;50.381,10;48.251,90;51.523,30;52.650,80;50.101,10;56.142,60;60.300,70;58.310,10;57.600,50;60.618,20;66.624,50;58.826,00;51.601,30;51.346,80;58.609,70;54.221,00;57.717,60;54.077,60;63.548,30;65.317,40;57.888,30
G;512;Venta al por mayor de materias primas agropecuarias, de animales vivos, alimentos, bebidas y tabaco, excepto en comisión o consignación;143.581,30;143.143,10;151.172,20;163.197,70;166.018,00;170.887,80;178.736,10;191.570,00;194.234,20;196.830,90;194.365,90;225.639,80;200.034,90;178.096,10;195.856,30;242.741,10;192.268,10;193.030,50;201.855,50;204.613,50;181.890,70;200.868,40;179.457,20;235.898,10;174.212,00;174.247,00;196.734,10;199.133,50;182.861,00;181.363,20;174.270,50;197.427,60;178.407,50;154.838,40;160.689,90;188.595,10;172.239,30;151.804,20;166.526,70;182.761,80;152.017,70;134.513,90;161.223,30;185.734,80;188.834,90;175.090,30;185.588,40;183.465,30;168.924,30;179.852,40;199.623,60;218.915,80;206.433,20;195.100,80;230.393,90;245.005,70;226.015,20;211.090,80;214.722,80;227.090,10;197.127,90;201.104,10;202.264,30;211.496,70;193.563,20;199.588,10;239.765,50;228.948,90;198.088,20;207.029,80;253.183,90;258.822,50;242.287,70;231.493,90;282.603,10;268.997,80;263.542,10;301.485,40;297.591,30;297.487,50;229.974,30;231.721,30;246.109,40;274.540,60
G;513;Venta al por mayor de artículos de uso doméstico y/o personal;114.364,30;114.015,30;120.410,50;129.989,00;132.235,40;136.114,30;142.365,50;152.587,90;170.741,60;183.344,90;201.109,20;204.896,30;206.492,30;221.910,40;221.079,50;222.923,50;213.941,60;210.985,70;227.944,60;234.642,00;220.428,70;231.697,90;245.551,00;241.207,90;228.950,30;248.106,30;250.906,90;252.881,20;249.281,60;268.690,40;282.676,00;269.676,40;253.081,00;261.601,50;277.221,00;278.986,00;257.390,60;282.045,50;299.744,60;284.998,80;268.305,50;286.800,70;288.310,10;290.686,30;269.525,10;301.342,90;308.165,90;297.868,30;279.467,60;299.082,70;300.823,90;295.805,20;283.153,60;290.454,10;314.967,10;316.003,30;300.142,60;314.216,80;317.077,10;306.259,40;303.975,10;310.102,80;334.414,10;341.046,00;305.952,90;309.856,70;350.720,20;367.918,10;359.600,70;380.113,30;418.855,50;359.802,20;342.461,70;355.443,70;342.715,30;328.329,10;316.899,40;331.996,30;367.709,00;365.392,60;326.585,10;388.558,70;433.743,70;397.602,70
G;514;Venta al por mayor de productos intermedios, desperdicios y desechos no agropecuarios;58.394,50;58.216,30;61.481,70;66.372,50;67.519,50;69.500,00;72.691,90;77.911,50;81.715,40;90.824,40;99.121,70;100.333,60;94.965,50;99.325,50;107.483,70;107.678,20;92.318,30;118.582,00;148.534,00;116.297,20;82.523,50;98.322,70;108.665,80;107.082,50;130.241,00;151.661,90;167.282,70;178.352,00;178.211,10;220.944,40;238.680,90;236.307,20;222.965,70;186.476,70;216.029,80;219.341,10;204.432,00;223.732,50;244.503,30;250.056,10;209.994,60;219.120,30;252.264,30;241.578,50;206.002,00;228.488,70;224.704,90;196.770,50;155.983,90;162.422,30;171.522,50;172.876,20;159.157,30;174.053,20;190.847,50;207.054,70;174.302,90;213.037,00;240.828,70;231.311,80;196.256,10;177.184,90;211.520,10;197.091,10;159.603,80;153.332,80;202.011,00;217.071,60;209.716,40;261.593,00;286.016,90;293.532,10;273.333,90;274.887,90;293.828,40;247.617,60;216.193,50;215.420,70;229.173,50;204.011,40;161.467,50;188.414,70;208.189,30;175.487,80
G;515;Venta al por mayor de máquinas, equipo y materiales conexos;5.373,30;5.356,90;5.657,40;6.107,40;6.213,00;6.395,20;6.688,90;7.169,20;8.230,40;12.070,10;12.212,90;13.945,70;13.413,00;12.151,00;12.490,10;14.966,20;12.351,30;13.080,90;14.216,30;15.508,60;11.906,00;15.498,60;14.872,00;16.068,00;13.443,60;12.964,50;14.836,00;15.788,50;14.782,20;15.838,30;16.299,50;17.548,80;14.100,80;14.350,70;16.075,60;18.832,20;15.905,40;16.163,60;20.384,30;21.311,00;15.105,30;16.726,40;17.143,00;17.483,00;14.620,40;15.469,20;16.537,40;15.185,00;13.143,90;12.740,10;13.257,50;14.518,00;13.127,10;15.033,50;15.300,30;17.757,50;13.697,50;17.139,20;15.370,70;16.550,00;15.917,60;14.546,80;15.199,00;14.935,40;12.887,90;14.628,60;16.838,80;19.413,30;16.989,90;22.406,70;23.068,90;22.478,40;20.474,30;20.937,70;22.411,20;20.621,20;19.074,30;25.370,80;21.286,90;17.176,00;14.435,30;19.579,90;22.408,80;22.998,90
G;519;Venta al por mayor de mercancías n.c.p.;2.355,50;2.348,30;2.480,00;2.677,30;2.723,50;2.803,40;2.932,20;3.142,70;3.395,00;3.506,20;3.753,40;4.065,10;3.208,40;3.194,90;4.109,80;4.313,30;4.031,80;3.934,90;4.173,40;4.031,20;3.669,10;3.860,20;4.166,40;4.140,70;4.239,20;4.583,00;4.746,70;5.445,10;4.710,30;5.250,60;5.446,80;6.396,00;5.776,50;5.393,20;6.570,30;6.970,30;6.082,50;6.136,20;6.324,30;6.645,20;5.760,50;5.059,50;5.466,50;5.734,90;5.221,20;5.151,30;5.792,40;5.942,90;5.421,30;4.974,10;5.284,20;4.858,90;4.277,40;4.295,30;5.037,00;5.255,10;3.969,90;4.257,10;4.472,00;4.476,10;3.867,00;3.711,10;4.229,80;4.347,60;3.572,30;4.683,10;4.855,90;5.336,20;4.556,10;4.482,70;5.306,40;5.668,00;4.314,30;4.461,30;5.229,00;4.818,50;4.666,90;4.327,30;4.533,50;4.229,10;3.249,10;3.784,30;4.127,60;3.966,20
G;521;Venta al por menor excepto la especificada explícitamente;199.168,00;198.560,20;209.697,60;226.378,90;230.291,00;237.046,10;247.932,70;265.735,30;267.627,00;263.084,10;289.562,60;316.163,90;333.797,90;305.758,90;320.172,10;375.030,80;355.561,00;250.253,90;313.831,90;340.659,20;320.168,70;339.887,00;340.214,80;370.231,20;325.072,20;309.225,60;331.020,50;357.277,60;342.189,30;342.260,10;347.732,90;391.217,30;372.528,40;364.832,50;373.643,30;416.334,90;404.575,40;404.306,40;407.955,80;432.695,50;381.440,90;391.532,70;387.692,60;434.767,10;400.710,90;399.340,60;390.660,00;453.078,20;400.294,60;380.694,80;379.479,60;429.234,50;403.939,70;387.173,90;414.292,40;456.055,40;408.838,70;384.755,40;370.949,20;395.186,00;346.283,00;329.942,60;348.138,40;368.030,30;344.420,00;325.019,60;332.994,20;364.930,00;320.236,30;307.509,60;336.722,10;392.602,80;343.806,60;308.798,40;357.676,30;374.644,10;379.380,10;377.816,10;364.975,90;378.610,00;335.860,50;330.750,80;355.075,60;403.019,90
G;522;Venta al por menor de productos alimentarios, bebidas y tabaco en comercios especializados;82.702,80;82.450,50;87.075,20;94.001,90;95.626,40;98.431,40;102.952,00;110.344,40;110.643,00;110.534,50;113.305,40;120.590,10;114.729,20;124.472,70;124.834,40;145.169,90;127.896,90;130.968,60;137.466,50;144.772,10;134.333,50;128.620,50;135.472,20;147.916,10;134.245,10;132.756,50;135.634,70;146.769,00;144.918,30;159.859,50;167.873,20;182.514,30;170.026,40;166.852,70;182.601,30;190.674,20;177.754,10;178.028,20;189.902,00;210.794,90;201.363,40;185.808,60;201.494,10;223.749,40;213.972,10;209.337,10;230.779,10;245.748,30;214.335,40;193.825,00;204.920,80;222.851,70;214.819,90;218.952,00;229.946,00;260.665,10;238.175,90;226.884,80;254.794,30;250.231,40;221.638,00;220.550,60;242.994,20;267.406,60;221.284,20;210.904,60;227.771,90;247.447,50;206.458,20;213.407,90;234.753,80;249.084,70;213.127,50;201.709,30;205.174,40;213.554,60;209.190,60;228.509,50;222.918,70;233.901,90;197.822,90;216.279,20;237.238,90;262.958,20
G;523;Venta al por menor de productos n.c.p. excepto los usados, en comercios especializados;255.711,20;254.930,90;269.230,20;290.647,20;295.669,90;304.342,90;318.320,10;341.176,80;357.747,90;377.329,20;419.742,40;466.101,90;428.865,50;443.652,70;477.346,70;531.368,30;447.091,70;484.156,40;492.088,50;499.860,00;418.999,20;427.168,40;449.358,50;492.484,50;453.397,90;486.989,80;502.435,90;605.105,10;531.922,00;559.245,10;591.252,70;635.761,10;533.869,30;596.978,00;566.152,10;650.712,80;554.440,00;571.320,90;598.856,50;644.626,20;498.890,00;515.805,20;527.113,60;596.010,60;509.804,70;559.597,60;588.111,00;625.139,10;503.479,80;517.666,80;537.519,30;610.986,20;536.817,00;571.162,00;631.383,40;732.752,10;627.383,20;647.863,70;629.185,10;635.273,00;553.066,90;590.386,60;593.463,70;614.457,80;501.693,40;510.932,70;629.111,60;680.386,20;608.950,40;639.779,10;694.433,70;759.023,20;643.030,80;664.016,20;634.577,70;629.786,10;571.179,90;609.600,30;637.814,00;622.645,60;492.062,40;556.583,20;642.916,70;698.376,10
G;524;Venta al por menor de artículos usados excluidos automotores y motocicletas;1.618,90;1.614,00;1.704,50;1.840,10;1.871,90;1.926,80;2.015,30;2.160,00;3.369,20;2.861,90;3.588,00;5.369,30;5.350,80;4.765,80;5.071,10;5.010,80;4.600,40;5.386,00;5.144,80;5.528,90;5.218,00;4.638,20;3.679,60;3.653,40;3.312,70;3.083,70;2.669,30;3.534,90;3.157,40;3.226,60;3.494,60;3.579,10;4.255,60;4.337,00;5.429,70;4.026,90;3.540,30;6.764,20;4.288,10;8.635,80;2.445,90;2.746,20;2.473,30;2.708,20;4.646,50;3.830,50;4.036,70;2.835,90;4.527,20;2.240,70;1.454,50;1.260,00;3.151,20;2.169,50;2.250,10;2.347,50;3.388,60;1.695,40;1.367,70;1.129,60;2.558,70;1.371,10;911,4;612,6;975,3;809,4;769,6;2.080,40;2.594,40;2.992,60;2.434,70;5.320,20;1.198,10;1.098,50;789,6;977,1;2.123,60;1.166,70;1.929,00;1.046,00;2.807,10;3.623,80;2.209,10;2.032,70
G;526;Reparación de efectos personales y enseres domésticos;13.655,70;13.614,00;14.377,60;15.521,40;15.789,60;16.252,80;16.999,20;18.219,80;21.844,80;19.371,20;22.212,00;26.631,40;26.985,20;19.360,20;19.535,10;23.058,10;22.239,20;18.696,60;15.719,20;22.815,90;20.847,00;24.473,20;19.185,10;18.181,50;20.950,70;13.624,40;15.509,40;20.561,40;21.190,30;23.791,80;23.329,60;24.192,10;25.556,90;24.511,40;21.002,70;18.959,40;20.483,40;21.860,30;21.348,30;33.950,60;19.700,20;17.542,10;19.876,50;24.111,80;19.926,20;18.671,40;21.159,80;23.805,80;19.968,80;22.858,70;22.646,00;22.181,60;22.687,80;25.344,20;23.221,50;25.986,90;20.207,80;21.264,90;18.087,40;19.165,90;17.600,20;17.035,70;18.972,80;20.087,60;15.663,60;10.460,10;14.740,20;19.171,90;15.857,90;14.137,90;13.586,60;10.569,80;7.389,00;6.749,90;9.151,50;8.642,00;16.417,50;10.177,80;15.141,60;18.524,90;15.346,40;14.245,00;22.322,20;24.773,10
H;;Hotelería y restaurantes;126.119,10;113.415,70;121.248,40;139.340,40;140.610,50;126.733,10;140.840,70;159.647,30;156.323,40;154.363,30;185.172,70;212.766,90;207.559,80;194.095,70;203.045,80;197.600,60;213.938,80;186.698,40;208.652,20;219.752,90;210.132,60;188.965,30;220.798,00;234.792,90;236.244,40;205.767,70;250.053,90;257.124,90;269.752,60;248.154,90;282.009,70;275.052,70;292.638,30;256.572,90;293.407,70;316.720,00;359.895,80;309.719,50;334.014,60;356.662,60;354.772,70;274.781,00;320.417,90;346.871,90;374.056,10;317.933,20;373.250,30;365.128,00;344.167,90;272.371,90;329.299,00;357.300,40;386.013,60;319.462,10;379.407,90;407.424,90;411.293,00;356.771,90;365.132,20;378.226,30;395.117,90;343.116,90;390.542,40;411.201,20;359.141,40;84.702,00;135.579,10;180.165,30;242.619,90;180.584,60;290.671,50;405.129,80;400.164,60;346.582,90;413.238,10;445.318,50;472.881,90;430.577,10;452.377,90;440.690,10;370.028,90;429.722,20;497.644,40;559.988,00
H;551;Servicios de alojamiento en hoteles, campamentos y otros tipos de hospedaje temporal;59.317,60;52.094,90;56.379,20;59.715,70;64.834,20;57.365,00;65.611,50;67.222,90;70.102,80;69.286,80;88.252,30;98.475,90;98.602,10;89.485,70;103.264,30;94.109,80;106.901,00;89.351,50;117.304,70;105.700,10;107.463,70;93.842,80;117.855,60;114.183,50;128.627,60;103.540,10;131.920,00;119.904,50;135.236,20;119.064,70;136.755,10;115.690,60;146.466,20;117.918,10;137.141,90;132.289,60;175.243,10;136.429,30;145.871,90;131.488,50;158.086,40;107.656,80;126.712,50;117.267,80;154.061,40;125.563,20;151.736,20;130.088,30;149.273,80;107.185,30;135.824,70;129.474,60;168.452,60;125.925,70;153.141,20;145.354,70;172.145,90;134.263,30;139.008,10;130.561,90;140.512,50;115.511,70;137.860,50;127.883,80;144.223,30;12.784,30;22.759,50;37.708,80;79.142,00;45.497,90;94.063,70;140.130,20;150.282,50;118.861,40;157.040,50;146.408,80;175.399,30;157.166,10;149.792,60;135.710,90;127.295,20;132.801,50;153.521,70;153.012,60
H;552;Servicios de expendio de comidas y bebidas;66.801,50;61.320,80;64.869,20;79.624,60;75.776,30;69.368,10;75.229,30;92.424,50;86.220,60;85.076,50;96.920,40;114.290,90;108.957,80;104.610,00;99.781,50;103.490,80;107.037,70;97.346,90;91.347,50;114.052,80;102.668,80;95.122,50;102.942,40;120.609,40;107.616,80;102.227,60;118.133,80;137.220,40;134.516,30;129.090,20;145.254,60;159.362,10;146.172,00;138.654,80;156.265,80;184.430,40;184.652,70;173.290,30;188.142,70;225.174,00;196.686,30;167.124,10;193.705,40;229.604,10;219.994,70;192.370,00;221.514,20;235.039,80;194.894,00;165.186,60;193.474,30;227.825,90;217.561,10;193.536,40;226.266,70;262.070,20;239.147,10;222.508,60;226.124,10;247.664,40;254.605,40;227.605,20;252.681,90;283.317,30;214.918,10;71.917,70;112.819,60;142.456,50;163.477,90;135.086,70;196.607,80;264.999,60;249.882,10;227.721,50;256.197,60;298.909,70;297.482,60;273.410,90;302.585,30;304.979,20;242.733,70;296.920,60;344.122,70;406.975,40
I;;Transporte y comunicaciones;288.946,10;282.580,10;302.834,30;298.815,60;295.776,50;309.322,60;313.907,80;316.824,90;316.940,10;324.076,20;345.172,60;346.853,20;337.755,50;365.362,20;387.399,50;409.303,70;375.487,60;397.636,90;421.705,10;426.697,00;368.354,00;378.085,90;400.922,60;359.982,20;382.830,60;412.873,90;442.685,70;423.558,70;406.026,80;429.629,80;434.822,00;436.003,50;430.635,90;463.680,00;488.293,40;471.165,10;464.726,20;469.137,10;492.611,70;477.173,20;458.493,10;473.966,90;497.151,90;492.505,00;447.898,40;474.971,20;491.695,00;482.896,80;481.440,00;537.459,70;570.372,10;582.267,50;564.863,10;560.570,50;581.716,10;573.937,00;539.281,70;581.039,30;594.521,10;604.380,20;596.375,90;620.557,30;658.367,20;626.434,80;524.579,40;401.980,20;463.498,50;497.279,50;497.471,30;606.585,60;647.665,30;748.812,80;664.197,60;765.811,50;810.177,70;763.645,80;765.449,20;851.680,50;811.228,20;716.267,40;627.753,20;755.533,20;820.889,50;835.006,80
I;60,62,63;Transporte;181.098,70;176.430,00;193.042,10;188.859,60;185.311,70;194.290,70;195.855,20;194.742,80;192.822,70;198.662,40;213.101,80;208.719,60;196.641,30;217.145,10;236.568,70;253.002,00;220.521,00;235.230,80;255.197,20;258.008,10;205.388,30;212.875,40;223.620,60;185.553,20;208.437,60;239.228,90;270.410,50;251.426,50;234.223,10;259.541,90;263.913,60;263.635,80;254.652,80;285.705,30;304.712,00;283.926,10;275.147,00;276.321,80;296.973,80;280.053,70;265.374,00;252.715,00;271.274,70;265.449,10;216.863,90;242.546,10;254.684,10;247.801,10;254.882,50;308.915,30;342.459,00;355.080,50;337.730,20;331.995,30;353.222,80;334.495,30;302.799,50;350.317,40;368.395,80;375.754,80;371.084,90;394.106,90;430.222,60;399.948,20;299.851,30;179.908,70;235.446,70;272.440,70;278.994,60;363.073,50;426.423,30;503.189,70;410.888,60;526.728,10;563.039,40;535.386,80;513.485,30;611.304,10;573.287,50;508.657,10;393.880,80;538.736,30;600.378,70;633.762,10
I;64;Comunicaciones;107.847,40;106.150,10;109.792,20;109.956,10;110.464,80;115.031,90;118.052,60;122.082,10;124.117,40;125.413,80;132.070,90;138.133,60;141.114,30;148.217,10;150.830,80;156.301,70;154.966,60;162.406,10;166.507,90;168.688,90;162.965,70;165.210,50;177.302,00;174.429,00;174.393,00;173.645,00;172.275,20;172.132,10;171.803,70;170.088,00;170.908,40;172.367,60;175.983,10;177.974,70;183.581,40;187.239,00;189.579,20;192.815,30;195.637,90;197.119,50;193.119,10;221.251,90;225.877,20;227.055,90;231.034,50;232.425,10;237.010,90;235.095,70;226.557,40;228.544,40;227.913,10;227.187,00;227.132,80;228.575,20;228.493,30;239.441,80;236.482,20;230.721,80;226.125,30;228.625,40;225.291,00;226.450,50;228.144,70;226.486,50;224.728,10;222.071,50;228.051,80;224.838,80;218.476,70;243.512,10;221.242,00;245.623,10;253.309,00;239.083,40;247.138,30;228.259,10;251.963,90;240.376,40;237.940,70;207.610,30;233.872,50;216.796,90;220.510,80;201.244,70
J;;Intermediación financiera;74.128,20;81.731,80;86.497,70;87.236,00;91.499,90;90.854,10;90.085,00;90.233,20;89.630,20;93.629,20;99.773,70;108.311,20;106.088,30;109.401,70;104.711,10;114.128,30;113.142,90;111.172,20;109.707,60;109.750,60;103.395,70;103.086,60;102.004,30;106.198,90;99.745,50;107.236,50;114.660,90;122.138,70;128.377,10;135.171,90;137.931,50;138.970,50;140.715,30;139.499,70;143.311,80;149.688,60;151.496,70;151.502,00;150.717,60;149.213,10;141.268,10;142.998,50;143.535,10;144.027,10;147.002,40;150.729,50;157.453,40;159.824,10;160.505,00;154.567,40;169.286,10;171.026,90;182.430,00;180.871,00;187.255,60;185.642,40;194.158,50;192.551,10;196.404,60;188.627,90;185.735,60;180.311,60;177.489,70;157.716,90;155.773,00;153.160,50;162.616,10;161.951,00;152.967,30;148.606,90;151.429,80;152.564,60;155.753,00;152.618,70;149.236,40;147.671,30;149.583,10;140.536,10;141.544,30;133.550,80;120.756,90;133.656,40;143.561,70;151.040,90
J;65;Intermediación financiera y otros servicios financieros;49.967,70;57.676,80;61.808,90;61.198,20;62.070,10;62.404,00;60.245,00;59.045,20;60.987,00;66.189,70;70.428,60;77.315,20;74.484,60;78.991,80;73.316,50;82.109,30;78.006,80;76.030,40;73.432,70;73.901,00;66.140,40;65.033,80;63.495,50;67.696,90;62.029,10;69.883,20;77.142,00;83.352,60;85.296,50;92.868,10;93.295,90;94.217,00;90.062,50;90.153,20;90.218,00;95.905,70;95.932,60;96.340,10;93.342,00;91.012,40;82.825,30;85.563,00;84.386,70;84.975,40;87.851,60;93.182,60;97.206,10;97.823,20;95.835,70;93.792,00;106.300,00;107.314,70;117.831,20;118.534,30;121.994,80;118.603,70;124.074,60;123.916,10;126.073,80;118.231,20;118.229,30;115.432,90;109.629,10;87.798,50;84.182,30;85.492,50;91.610,50;86.267,60;81.582,50;81.398,30;80.492,80;80.047,50;81.426,90;81.503,40;78.276,70;76.424,40;72.798,40;68.625,80;64.751,60;55.559,70;46.048,10;62.807,70;68.724,30;73.977,60
J;66;Servicios de seguros;18.143,20;18.029,20;18.430,70;19.199,10;22.664,70;21.490,80;22.113,30;23.385,50;21.335,60;20.820,10;22.024,70;23.482,10;23.825,70;22.492,00;23.141,80;23.664,50;25.970,50;25.492,00;25.444,20;25.332,50;26.618,50;27.435,80;27.532,30;27.889,90;27.641,60;26.946,50;26.644,80;27.776,30;31.193,10;30.421,20;31.482,50;32.112,50;36.522,70;35.832,10;38.114,80;38.920,40;40.148,00;39.898,10;41.350,10;42.315,80;43.436,80;42.599,40;43.720,50;44.274,20;44.611,70;42.567,20;44.224,20;45.647,30;49.065,50;45.550,60;47.175,00;48.007,60;48.878,50;46.030,10;47.912,90;49.002,60;52.405,50;50.299,50;52.001,60;53.350,30;52.392,30;49.551,10;50.781,80;52.406,30;53.796,50;50.010,80;51.871,30;53.968,90;51.611,60;48.352,00;50.596,90;51.646,40;53.269,30;49.087,10;49.572,90;50.312,20;54.830,60;49.226,80;51.547,30;51.841,90;51.598,60;47.229,60;46.774,60;47.667,40
J;67;Servicios auxiliares a la actividad financiera;6.017,20;6.025,80;6.258,10;6.838,70;6.765,00;6.959,30;7.726,70;7.802,50;7.307,50;6.619,30;7.320,40;7.514,00;7.778,10;7.918,00;8.252,80;8.354,50;9.165,50;9.649,90;10.830,70;10.517,00;10.636,70;10.617,00;10.976,50;10.612,10;10.074,80;10.406,70;10.874,20;11.009,80;11.887,50;11.882,60;13.153,10;12.641,00;14.130,10;13.514,30;14.978,90;14.862,40;15.416,20;15.263,80;16.025,50;15.884,90;15.006,00;14.836,10;15.427,90;14.777,50;14.539,10;14.979,70;16.023,20;16.353,60;15.603,80;15.224,80;15.811,10;15.704,50;15.720,20;16.306,70;17.347,90;18.036,10;17.678,40;18.335,50;18.329,20;17.046,40;15.114,00;15.327,60;17.078,80;17.512,00;17.794,20;17.657,10;19.134,30;21.714,60;19.773,20;18.856,60;20.340,10;20.870,70;21.056,90;22.028,20;21.386,80;20.934,70;21.954,20;22.683,50;25.245,40;26.149,30;23.110,30;23.619,10;28.062,80;29.395,90
K;;Actividades inmobiliarias, empresariales y de alquier;612.641,70;623.922,60;651.912,20;672.481,10;698.117,50;718.465,40;758.182,90;796.104,30;761.323,40;767.286,70;783.938,70;799.955,30;791.630,90;801.401,60;858.793,90;867.608,40;864.779,90;882.596,40;878.832,00;883.330,50;863.496,60;850.930,10;916.008,20;905.912,30;900.332,20;935.218,00;933.101,60;991.770,50;977.561,00;994.642,50;1.001.106,20;1.047.327,30;992.975,20;989.535,70;1.000.179,90;1.016.124,00;1.031.970,50;1.028.977,30;1.077.838,80;1.025.630,70;1.022.419,90;1.027.041,00;1.039.070,50;1.039.882,60;1.065.671,00;1.062.991,20;1.157.145,80;1.177.219,10;1.121.095,00;1.095.026,30;1.105.574,60;1.116.969,30;1.126.988,30;1.117.852,60;1.125.015,70;1.137.259,40;1.130.666,10;1.127.350,20;1.115.247,10;1.106.844,60;1.123.203,10;1.131.109,00;1.124.001,10;1.129.712,70;1.137.131,50;1.107.980,70;1.100.890,30;1.107.817,10;1.099.869,50;1.099.677,80;1.115.814,30;1.107.428,70;1.153.258,30;1.162.945,70;1.173.213,70;1.195.386,50;1.191.748,60;1.224.189,40;1.198.898,70;1.263.932,50;1.194.842,60;1.210.257,80;1.166.544,40;1.228.584,00
K;70;Propiedad de la vivienda;326.795,00;329.715,30;332.623,10;335.518,50;338.401,40;341.287,40;344.176,10;347.067,70;349.962,30;352.856,60;355.750,60;358.644,30;361.537,90;364.429,60;367.319,50;370.207,50;373.093,90;375.988,30;378.891,20;381.802,30;384.721,80;387.606,50;390.456,60;393.271,90;396.052,40;398.977,50;402.046,90;405.260,80;408.619,10;411.942,70;415.231,50;418.485,60;421.705,00;424.932,90;428.169,00;431.413,40;434.666,20;437.916,90;441.165,70;444.412,50;447.657,30;450.902,60;454.148,30;457.394,50;460.641,10;463.887,70;467.134,40;470.380,70;473.627,20;476.873,40;480.119,50;483.365,30;486.611,10;489.857,60;493.104,90;496.353,10;499.602,00;502.847,50;506.089,80;509.328,60;512.564,20;515.813,50;519.077,00;522.354,60;525.645,90;528.879,20;532.054,20;535.171,20;538.229,90;541.530,60;545.073,30;548.858,10;552.884,90;555.905,00;557.918,30;558.925,00;565.870,10;568.890,20;570.903,70;571.910,30;578.855,60;581.875,60;583.888,90;584.895,60
